2011/06/03,425,425,423,423,200,423
2011/06/06,423,429,423,429,600,429
2011/06/07,429,429,425,425,3,000,425
2011/06/08,428,429,425,428,5,600,428
2011/06/09,426,432,426,430,8,200,430
2011/06/10,428,434,427,427,7,400,427
2011/06/13,430,430,420,424,6,300,424
2011/06/14,424,430,418,430,4,100,430
2011/06/15,422,430,415,425,19,900,425
2011/06/16,428,435,424,435,13,600,435
2011/06/17,437,437,423,424,9,200,424
2011/06/20,428,436,428,435,5,300,435
2011/06/21,437,437,431,431,6,300,431
2011/06/22,438,438,436,436,2,400,436
2011/06/23,436,441,435,441,7,900,441
2011/06/24,439,445,432,436,19,300,436
2011/06/27,435,435,421,426,5,700,426
2011/06/28,431,436,431,436,500,436
2011/06/29,438,440,430,433,1,700,433
2011/06/30,441,444,428,444,5,000,444
2015/08/24,663,664,623,635,30,400,635
2015/08/25,605,632,580,622,16,300,622
2015/08/26,610,648,610,648,6,400,648
2015/08/27,668,684,654,663,6,700,663
2015/08/28,670,674,670,671,1,600,671
2015/08/31,670,670,665,665,1,100,665
2015/09/01,665,669,646,646,2,200,646
2015/09/02,640,649,636,648,2,000,648
2015/09/03,667,670,657,667,5,000,667
2015/09/04,664,669,642,650,3,300,650
2015/09/07,631,631,610,621,8,100,621
2015/09/08,613,618,605,613,5,300,613
2015/09/09,622,632,613,620,7,000,620
2015/09/10,623,628,621,628,4,700,628
2015/09/11,641,647,636,647,2,000,647
2015/09/14,627,632,622,625,17,500,625
2015/09/15,626,635,626,629,8,100,629
2015/09/16,633,640,628,628,5,100,628
2015/09/17,638,641,634,638,5,400,638
2015/09/18,643,645,638,638,2,200,638
2015/09/24,626,644,626,641,3,800,641
2015/09/25,651,655,640,654,5,300,654
2015/09/28,652,652,641,647,1,600,647
2015/09/29,642,642,615,620,3,800,620
2015/09/30,626,627,615,625,1,400,625
2015/10/01,625,643,620,643,8,900,643
2015/10/02,642,645,634,643,2,600,643
2015/10/05,653,660,643,659,7,200,659
2015/10/06,664,665,655,665,2,900,665
2015/10/07,668,694,653,663,8,100,663
2015/10/08,674,674,666,672,1,000,672
