2011/06/03,37,600,37,600,36,450,36,500,55,365
2011/06/06,36,000,36,650,35,650,36,200,51,362
2011/06/09,35,100,35,700,33,800,35,700,196,357
2011/06/10,36,100,36,400,35,600,36,000,85,360
2011/06/13,35,400,35,700,33,200,34,800,230,348
2011/06/15,34,850,35,350,33,800,34,700,132,347
2011/06/16,33,500,33,950,33,100,33,700,98,337
2011/06/17,33,250,34,400,33,000,33,100,150,331
2011/06/20,33,500,33,500,32,700,32,800,55,328
2011/06/21,32,850,33,200,32,600,32,600,21,326
2011/06/22,32,600,33,800,32,500,33,800,106,338
2011/06/23,33,500,33,800,32,800,33,000,107,330
2011/06/29,32,100,32,900,31,850,32,300,56,323
2015/08/24,262,269,224,224,844,300,224
2015/08/25,199,249,198,216,758,300,216
2015/08/26,227,237,225,237,353,200,237
2015/08/27,252,300,245,285,3,569,200,285
2015/08/28,305,318,296,314,2,626,700,314
2015/08/31,319,329,308,320,1,293,600,320
2015/09/01,322,400,310,346,8,663,100,346
2015/09/02,322,410,318,368,10,092,000,368
2015/09/03,390,420,374,380,9,500,900,380
2015/09/04,368,392,325,350,4,094,800,350
2015/09/07,349,367,330,355,2,284,100,355
2015/09/08,381,435,379,435,16,673,100,435
2015/09/09,443,465,413,451,12,308,800,451
2015/09/10,459,522,440,473,15,328,300,473
2015/09/11,444,464,393,398,6,325,700,398
2015/09/14,382,408,345,360,5,612,200,360
2015/09/15,375,383,349,352,3,821,200,352
2015/09/16,360,368,328,329,2,305,200,329
2015/09/17,336,345,319,325,2,400,900,325
2015/09/18,325,336,319,326,1,364,700,326
2015/09/24,329,332,304,305,1,425,200,305
2015/09/25,310,322,303,313,1,168,400,313
2015/09/28,319,332,315,327,1,354,000,327
2015/09/29,315,319,311,313,709,700,313
2015/09/30,325,335,317,326,1,386,600,326
2015/10/01,330,374,328,359,4,435,900,359
2015/10/02,359,382,355,375,2,771,300,375
2015/10/05,394,399,377,381,2,293,200,381
2015/10/06,374,383,363,373,1,457,600,373
2015/10/07,368,408,366,406,3,421,700,406
2015/10/08,410,416,386,393,2,077,200,393
2015/10/09,390,393,373,383,886,100,383
