2011/04/21,450,452,450,452,200,452
2011/04/22,454,458,454,458,200,458
2011/05/09,456,456,456,456,200,456
2011/05/10,448,448,448,448,100,448
2011/05/12,450,456,450,456,200,456
2011/05/23,448,455,448,455,300,455
2011/05/27,458,458,458,458,200,458
2011/05/30,450,450,450,450,100,450
2011/05/31,450,450,450,450,200,450
2011/06/06,449,449,449,449,100,449
2011/06/08,449,449,449,449,200,449
2011/06/09,441,441,441,441,200,441
2011/06/10,433,433,433,433,100,433
2011/06/13,425,425,425,425,100,425
2011/06/23,433,440,433,440,200,440
2011/06/24,448,448,448,448,200,448
2011/06/27,454,454,454,454,200,454
2011/06/28,454,454,454,454,200,454
2011/06/29,454,454,453,453,400,453
2011/06/30,452,452,452,452,400,452
2015/08/24,557,557,541,543,82,300,543
2015/08/25,534,538,503,529,60,900,529
2015/08/26,537,537,534,534,2,000,534
2015/08/27,534,535,523,529,58,800,529
2015/08/28,534,540,534,540,3,500,540
2015/08/31,540,540,527,534,2,700,534
2015/09/01,534,535,515,522,19,500,522
2015/09/02,511,522,511,517,6,000,517
2015/09/03,530,530,523,523,800,523
2015/09/04,519,519,490,496,40,800,496
2015/09/07,493,493,485,489,28,300,489
2015/09/08,487,490,484,485,9,600,485
2015/09/09,488,493,483,492,61,700,492
2015/09/10,486,492,485,486,20,100,486
2015/09/11,486,492,486,490,14,700,490
2015/09/14,488,490,485,486,48,700,486
2015/09/15,485,498,485,498,12,800,498
2015/09/16,490,493,488,490,6,300,490
2015/09/17,488,493,487,492,17,700,492
2015/09/18,490,492,485,487,17,500,487
2015/09/24,484,488,484,488,12,500,488
2015/09/25,487,487,480,486,7,600,486
2015/09/28,481,482,480,481,3,000,481
2015/09/29,480,480,473,473,10,600,473
2015/09/30,478,479,477,479,1,800,479
2015/10/01,476,485,476,481,5,800,481
2015/10/02,477,484,477,483,1,700,483
2015/10/05,480,485,480,482,4,600,482
2015/10/06,486,498,486,493,14,000,493
2015/10/07,493,497,487,491,5,500,491
2015/10/08,491,498,488,495,6,900,495
2015/10/09,495,502,495,502,2,600,502
