2011/04/11,360,360,360,360,200,180
2011/04/18,360,360,352,352,200,176
2011/04/22,384,384,384,384,700,192
2011/04/25,384,384,384,384,100,192
2011/05/24,400,400,398,398,900,199
2011/05/25,398,398,398,398,200,199
2011/05/26,398,398,398,398,200,199
2011/06/14,377,377,370,370,300,185
2015/08/24,645,648,618,619,24,800,619
2015/08/25,529,629,529,586,42,500,586
2015/08/26,590,640,590,625,11,400,625
2015/08/27,650,666,644,658,12,100,658
2015/08/28,674,674,665,672,8,900,672
2015/08/31,678,679,673,675,9,900,675
2015/09/01,675,678,666,666,8,100,666
2015/09/02,651,671,650,659,9,700,659
2015/09/03,673,673,663,671,4,000,671
2015/09/04,653,663,641,644,13,400,644
2015/09/07,632,633,618,624,12,500,624
2015/09/08,616,622,600,602,17,400,602
2015/09/09,620,629,620,629,8,000,629
2015/09/10,601,621,601,618,9,800,618
2015/09/11,613,627,613,626,5,600,626
2015/09/14,631,640,630,637,5,400,637
2015/09/15,638,647,636,647,3,000,647
2015/09/16,647,649,645,646,4,300,646
2015/09/17,650,656,650,655,7,200,655
2015/09/18,655,659,654,657,6,700,657
2015/09/24,660,679,659,679,31,200,679
2015/09/25,675,680,672,680,31,600,680
