2011/06/03,3,3,3,3,462,100,3
2011/06/06,3,4,3,3,557,000,3
2011/06/07,3,4,3,3,169,200,3
2011/06/08,3,4,3,3,634,300,3
2011/06/09,4,4,3,3,458,000,3
2011/06/10,3,4,3,3,218,100,3
2011/06/13,4,4,3,4,505,400,4
2011/06/14,3,4,3,3,389,800,3
2011/06/15,3,6,3,5,15,026,400,5
2011/06/16,5,6,4,5,20,911,200,5
2011/06/17,4,5,3,3,6,909,900,3
2011/06/20,4,4,3,4,1,417,600,4
2011/06/21,4,4,3,4,767,200,4
2011/06/22,4,5,4,5,3,233,700,5
2011/06/23,5,6,4,5,5,547,300,5
2011/06/24,5,6,4,5,2,392,200,5
2011/06/27,5,6,4,5,3,061,300,5
2011/06/28,5,6,5,5,947,400,5
2011/06/29,4,5,3,4,10,623,800,4
2011/06/30,4,6,4,5,7,702,400,5
2015/08/24,4,4,3,4,6,967,600,4
2015/08/25,3,4,3,3,10,333,000,3
2015/08/26,4,4,3,3,11,298,500,3
2015/08/27,3,4,3,4,4,977,700,4
2015/08/28,3,4,3,4,4,991,800,4
2015/08/31,4,4,3,4,5,416,200,4
2015/09/01,4,4,3,3,4,323,300,3
2015/09/02,4,4,3,3,5,535,900,3
2015/09/03,3,4,3,3,2,668,300,3
2015/09/04,4,4,3,3,4,792,000,3
2015/09/07,3,4,3,4,3,672,100,4
2015/09/08,3,4,3,3,3,379,900,3
2015/09/09,3,4,3,3,4,590,900,3
2015/09/10,3,4,3,3,4,361,100,3
2015/09/11,3,4,3,4,4,149,600,4
2015/09/14,4,4,3,4,3,603,500,4
2015/09/15,3,4,3,3,4,438,400,3
2015/09/16,3,4,3,3,4,215,700,3
2015/09/17,3,4,3,3,4,503,000,3
2015/09/18,3,4,3,4,4,503,100,4
2015/09/24,4,4,3,3,4,090,000,3
2015/09/25,3,4,3,3,3,883,900,3
2015/09/28,3,4,3,3,4,346,900,3
2015/09/29,4,4,3,3,5,022,700,3
2015/09/30,3,4,3,3,4,474,000,3
2015/10/01,3,4,3,3,4,139,500,3
2015/10/02,3,4,3,3,4,730,800,3
2015/10/05,3,4,3,3,4,708,500,3
2015/10/06,3,4,3,3,3,635,900,3
2015/10/07,3,4,3,3,4,310,300,3
2015/10/08,3,4,3,3,4,004,300,3
