2011/06/03,130,132,129,129,639,000,129
2011/06/06,128,129,126,126,668,000,126
2011/06/07,127,131,127,130,2,249,000,130
2011/06/08,130,133,127,132,1,985,000,132
2011/06/09,131,139,126,138,5,447,000,138
2011/06/10,137,142,137,142,4,767,000,142
2011/06/13,140,142,139,141,2,511,000,141
2011/06/14,141,146,140,144,4,490,000,144
2011/06/15,145,145,143,144,1,971,000,144
2011/06/16,142,145,141,141,1,506,000,141
2011/06/17,142,142,137,138,1,449,000,138
2011/06/20,138,145,137,140,2,867,000,140
2011/06/21,141,143,140,143,996,000,143
2011/06/22,143,151,142,150,8,028,000,150
2011/06/23,150,153,148,150,5,684,000,150
2011/06/24,150,153,149,151,2,816,000,151
2011/06/27,151,151,147,150,1,620,000,150
2011/06/28,152,152,147,148,1,414,000,148
2011/06/29,150,150,148,148,1,294,000,148
2011/06/30,151,156,149,155,5,405,000,155
2015/08/24,320,323,303,305,2,598,000,305
2015/08/25,281,300,274,287,2,843,000,287
2015/08/26,285,298,284,295,2,793,000,295
2015/08/27,301,304,293,295,1,858,000,295
2015/08/28,303,310,301,306,1,552,000,306
2015/08/31,309,309,302,304,1,179,000,304
2015/09/01,303,303,293,296,1,280,000,296
2015/09/02,287,291,285,288,1,741,000,288
2015/09/03,290,292,288,289,861,000,289
2015/09/04,305,309,296,297,5,867,000,297
2015/09/07,295,298,285,295,2,162,000,295
2015/09/08,296,305,293,295,2,131,000,295
2015/09/09,305,322,305,317,3,236,000,317
2015/09/10,313,335,312,331,4,684,000,331
2015/09/11,333,348,333,341,5,318,000,341
2015/09/14,341,347,339,342,2,063,000,342
2015/09/15,345,351,340,342,1,837,000,342
2015/09/16,346,365,345,361,6,908,000,361
2015/09/17,367,378,367,374,8,236,000,374
2015/09/18,374,384,371,380,7,414,000,380
2015/09/24,370,387,369,372,5,444,000,372
2015/09/25,370,380,369,379,2,934,000,379
2015/09/28,378,394,378,387,5,013,000,387
2015/09/29,382,382,358,364,5,075,000,364
2015/09/30,372,384,365,377,3,586,000,377
2015/10/01,379,385,364,383,4,045,000,383
2015/10/02,386,392,381,388,5,140,000,388
2015/10/05,394,407,393,406,8,121,000,406
2015/10/06,410,412,393,394,5,534,000,394
2015/10/07,397,419,396,405,11,183,000,405
2015/10/08,402,417,398,413,6,823,000,413
2015/10/09,413,416,402,412,5,199,000,412
