2011/06/03,37,38,36,36,678,000,36
2011/06/06,36,36,35,35,495,000,35
2011/06/07,36,36,36,36,342,000,36
2011/06/08,36,36,36,36,162,000,36
2011/06/09,36,36,35,35,626,000,35
2011/06/10,36,36,35,35,493,000,35
2011/06/13,35,35,34,34,599,000,34
2011/06/14,34,36,34,36,625,000,36
2011/06/15,36,36,35,36,373,000,36
2011/06/16,35,36,34,34,576,000,34
2011/06/17,35,35,34,35,362,000,35
2011/06/20,35,36,34,35,267,000,35
2011/06/21,35,35,34,35,341,000,35
2011/06/22,35,36,35,36,528,000,36
2011/06/23,35,36,35,35,329,000,35
2011/06/24,35,36,35,35,493,000,35
2011/06/27,35,35,34,35,467,000,35
2011/06/28,36,36,35,36,265,000,36
2011/06/29,36,36,35,35,238,000,35
2011/06/30,36,36,35,36,171,000,36
2015/08/24,45,45,43,43,5,759,000,43
2015/08/25,41,45,41,43,9,478,000,43
2015/08/26,43,45,43,45,2,592,000,45
2015/08/27,45,46,44,44,4,024,000,44
2015/08/28,45,46,45,45,4,364,000,45
2015/08/31,46,47,45,47,4,368,000,47
2015/09/01,46,47,45,45,5,268,000,45
2015/09/02,45,47,44,47,6,898,000,47
2015/09/03,46,47,45,45,4,278,000,45
2015/09/04,45,45,43,44,4,225,000,44
2015/09/07,43,44,42,43,4,329,000,43
2015/09/08,43,43,42,42,3,932,000,42
2015/09/09,43,44,43,43,3,702,000,43
2015/09/10,44,44,43,43,3,782,000,43
2015/09/11,43,44,43,44,3,839,000,44
2015/09/14,43,44,43,43,3,778,000,43
2015/09/15,44,45,43,43,4,303,000,43
2015/09/16,44,44,43,43,2,923,000,43
2015/09/17,44,44,43,43,4,009,000,43
2015/09/18,43,44,43,43,3,147,000,43
2015/09/24,42,43,42,42,1,933,000,42
2015/09/25,43,43,42,42,1,100,000,42
