2011/06/03,672,672,660,667,700,667
2011/06/06,667,667,660,660,500,660
2011/06/07,659,659,659,659,100,659
2011/06/08,659,659,654,655,3,000,655
2011/06/09,650,658,650,658,600,658
2011/06/10,648,648,648,648,200,648
2011/06/13,640,640,638,638,1,300,638
2011/06/14,640,643,636,643,3,200,643
2011/06/15,643,643,620,631,3,700,631
2011/06/16,630,630,619,620,3,200,620
2011/06/17,620,620,608,615,6,100,615
2011/06/20,617,617,600,600,11,000,600
2011/06/21,600,605,598,605,5,000,605
2011/06/22,605,605,590,600,12,700,600
2011/06/23,600,603,593,599,9,500,599
2011/06/24,600,602,599,600,5,000,600
2011/06/27,593,595,581,595,19,600,595
2011/06/28,600,602,590,595,11,300,595
2011/06/29,601,605,600,605,2,600,605
2011/06/30,610,615,605,613,7,000,613
2015/08/24,699,718,650,650,72,900,650
2015/08/25,590,663,580,590,89,600,590
2015/08/26,610,670,610,668,20,500,668
2015/08/27,688,695,682,688,23,400,688
2015/08/28,697,713,685,690,20,500,690
2015/08/31,690,715,682,711,20,300,711
2015/09/01,708,708,660,670,23,900,670
2015/09/02,650,683,648,675,20,400,675
2015/09/03,682,700,680,686,12,100,686
2015/09/04,686,686,632,660,19,900,660
2015/09/07,632,676,632,659,28,300,659
2015/09/08,673,683,647,662,17,100,662
2015/09/09,683,683,672,681,9,900,681
2015/09/10,674,688,670,681,11,100,681
2015/09/11,681,702,681,693,16,200,693
2015/09/14,703,750,699,750,28,600,750
2015/09/15,730,750,725,749,29,500,749
2015/09/16,750,780,708,755,37,800,755
2015/09/17,755,755,716,729,7,600,729
2015/09/18,722,723,714,721,10,900,721
2015/09/24,721,726,698,707,11,200,707
2015/09/25,697,717,677,711,21,300,711
2015/09/28,718,718,700,706,6,600,706
2015/09/29,701,701,675,678,12,400,678
2015/09/30,682,687,674,683,4,300,683
2015/10/01,683,719,678,711,27,100,711
2015/10/02,711,715,696,715,13,700,715
2015/10/05,712,736,710,730,16,200,730
2015/10/06,725,743,715,728,22,500,728
2015/10/07,735,769,735,750,38,600,750
2015/10/08,751,772,742,743,24,900,743
2015/10/09,744,751,730,740,10,000,740
