2011/06/03,448,448,448,448,500,448
2011/06/06,441,448,441,448,500,448
2011/06/07,442,442,442,442,400,442
2011/06/08,439,453,439,453,600,453
2011/06/09,445,451,445,451,900,451
2011/06/10,450,450,450,450,1,000,450
2011/06/13,452,455,452,452,1,600,452
2011/06/14,450,453,442,452,6,000,452
2011/06/15,452,453,446,447,4,400,447
2011/06/16,452,452,436,441,8,000,441
2011/06/17,444,444,436,436,1,900,436
2011/06/20,444,449,443,449,3,000,449
2011/06/21,449,455,442,455,2,900,455
2011/06/22,456,457,455,455,3,400,455
2011/06/23,454,459,454,459,7,600,459
2011/06/24,454,460,454,460,24,200,460
2011/06/27,461,462,458,462,13,600,462
2011/06/28,458,460,451,460,1,100,460
2011/06/29,460,460,450,450,1,000,450
2011/06/30,454,454,445,452,4,200,452
2015/08/24,920,920,854,854,151,300,854
2015/08/25,828,885,828,839,98,600,839
2015/08/26,875,899,860,878,61,600,878
2015/08/27,910,985,880,976,208,100,976
2015/08/28,977,1,013,945,973,578,900,973
2015/08/31,950,968,913,925,131,200,925
2015/09/01,925,930,905,912,71,000,912
2015/09/02,897,919,895,911,54,200,911
2015/09/03,922,925,883,885,21,500,885
2015/09/04,885,903,870,883,37,200,883
2015/09/07,868,900,863,883,27,500,883
2015/09/08,879,879,845,847,29,900,847
2015/09/09,857,880,849,878,20,800,878
2015/09/10,864,877,849,876,29,800,876
2015/09/11,891,898,880,897,32,700,897
2015/09/14,900,900,877,890,13,900,890
2015/09/15,900,900,856,883,21,900,883
2015/09/16,884,884,875,880,8,600,880
2015/09/17,884,900,884,892,13,400,892
2015/09/18,892,892,868,868,27,200,868
2015/09/24,854,854,830,835,38,700,835
2015/09/25,860,860,830,835,53,900,835
