2011/06/03,55,55,54,54,353,000,54
2011/06/06,54,55,53,53,629,000,53
2011/06/07,53,55,53,54,658,000,54
2011/06/08,54,55,54,54,489,000,54
2011/06/09,55,60,55,56,7,069,000,56
2011/06/10,57,58,56,57,1,350,000,57
2011/06/13,56,57,55,56,1,242,000,56
2011/06/14,55,57,55,56,1,282,000,56
2011/06/15,56,56,55,55,1,009,000,55
2011/06/16,55,58,55,57,1,781,000,57
2011/06/17,58,61,56,56,6,978,000,56
2011/06/20,56,57,55,55,1,670,000,55
2011/06/21,56,59,56,58,2,657,000,58
2011/06/22,58,60,58,59,2,055,000,59
2011/06/23,58,62,58,62,3,227,000,62
2011/06/24,61,63,59,61,3,709,000,61
2011/06/27,60,63,60,61,2,912,000,61
2011/06/28,62,64,61,64,2,899,000,64
2011/06/29,68,69,56,57,33,376,000,57
2011/06/30,57,57,53,55,9,220,000,55
2015/08/24,435,454,411,415,47,248,000,415
2015/08/25,400,446,376,404,66,377,000,404
2015/08/26,414,450,408,445,48,521,000,445
2015/08/27,450,469,443,448,54,974,000,448
2015/08/28,464,465,432,436,31,052,000,436
2015/08/31,426,435,413,420,31,712,000,420
2015/09/01,415,418,389,392,35,863,000,392
2015/09/02,379,403,375,390,41,194,000,390
2015/09/03,397,405,383,386,20,761,000,386
2015/09/04,389,390,352,359,43,048,000,359
2015/09/07,351,366,341,352,38,301,000,352
2015/09/08,359,367,347,352,29,055,000,352
2015/09/09,370,393,358,392,43,761,000,392
2015/09/10,372,386,366,382,30,507,000,382
2015/09/11,376,392,374,390,19,328,000,390
2015/09/14,390,404,375,379,32,228,000,379
2015/09/15,379,388,372,376,16,482,000,376
2015/09/16,381,397,372,393,31,379,000,393
2015/09/17,405,410,394,406,25,316,000,406
2015/09/18,402,402,377,392,30,689,000,392
2015/09/24,376,390,376,385,9,481,000,385
2015/09/25,387,395,381,395,12,821,000,395
2015/09/28,397,401,391,398,10,495,000,398
2015/09/29,386,387,363,366,20,182,000,366
2015/09/30,374,374,345,355,29,616,000,355
2015/10/01,363,380,351,379,30,291,000,379
2015/10/02,375,387,373,384,24,506,000,384
2015/10/05,385,398,381,390,23,388,000,390
2015/10/06,392,400,378,379,19,804,000,379
2015/10/07,374,376,360,366,21,358,000,366
2015/10/08,368,370,355,359,16,594,000,359
