2011/06/03,95,96,93,93,665,400,93
2011/06/06,93,95,88,89,2,079,800,89
2011/06/07,88,92,88,89,1,121,700,89
2011/06/08,90,91,89,90,842,500,90
2011/06/09,91,92,90,92,835,200,92
2011/06/10,93,94,91,94,1,197,700,94
2011/06/13,104,124,104,124,37,998,600,124
2011/06/14,121,128,114,117,18,130,100,117
2011/06/15,124,140,120,137,27,972,400,137
2011/06/16,135,144,132,142,19,538,600,142
2011/06/17,142,145,129,133,9,268,600,133
2011/06/20,136,137,117,120,15,294,000,120
2011/06/21,119,122,116,120,6,157,900,120
2011/06/22,118,126,113,116,9,892,300,116
2011/06/23,115,119,113,114,4,320,200,114
2011/06/24,115,125,115,121,11,076,000,121
2011/06/27,121,124,118,120,4,469,000,120
2011/06/28,121,123,116,117,2,521,000,117
2011/06/29,118,119,115,116,4,019,900,116
2011/06/30,115,116,112,114,5,346,700,114
2015/08/24,558,573,529,538,7,770,900,538
2015/08/25,512,559,506,527,7,286,300,527
2015/08/26,530,553,527,545,5,233,500,545
2015/08/27,553,563,552,559,5,834,600,559
2015/08/28,571,589,571,586,4,169,300,586
2015/08/31,589,598,573,590,4,134,500,590
2015/09/01,588,588,562,563,2,334,200,563
2015/09/02,543,566,541,550,3,225,200,550
2015/09/03,560,565,546,548,2,454,700,548
2015/09/04,546,554,514,520,3,695,000,520
2015/09/07,515,523,507,517,2,972,700,517
2015/09/08,517,528,513,515,3,448,400,515
2015/09/09,533,558,525,555,2,914,100,555
2015/09/10,542,549,534,538,3,219,200,538
2015/09/11,533,557,523,549,2,985,500,549
2015/09/14,550,554,534,540,2,200,700,540
2015/09/15,540,549,530,531,2,138,500,531
2015/09/16,537,539,515,519,3,333,500,519
2015/09/17,529,547,524,544,2,303,400,544
2015/09/18,539,550,526,549,2,910,700,549
2015/09/24,544,561,543,546,2,152,100,546
2015/09/25,551,573,550,573,2,601,400,573
