2011/06/03,362,374,362,374,800,374
2011/06/06,366,366,361,361,1,800,361
2011/06/07,360,370,358,370,2,800,370
2011/06/08,372,372,362,370,1,900,370
2011/06/09,369,370,365,365,26,800,365
2011/06/10,362,363,360,360,1,500,360
2011/06/13,368,368,362,367,5,000,367
2011/06/14,362,366,362,364,2,500,364
2011/06/15,362,362,358,358,3,800,358
2011/06/16,365,365,365,365,200,365
2011/06/17,365,365,360,364,2,000,364
2011/06/20,360,361,360,361,500,361
2011/06/21,359,361,354,357,2,100,357
2011/06/22,352,358,350,355,3,400,355
2011/06/23,362,362,355,355,700,355
2011/06/24,362,364,362,364,4,000,364
2011/06/27,365,365,360,360,13,300,360
2011/06/28,358,362,357,357,900,357
2011/06/29,364,365,357,365,7,800,365
2011/06/30,362,364,362,364,2,600,364
2015/08/24,695,704,671,671,35,600,671
2015/08/25,667,681,645,672,15,400,672
2015/08/26,668,698,668,698,45,400,698
2015/08/27,691,702,691,696,7,700,696
2015/08/28,696,701,696,697,2,800,697
2015/08/31,684,698,684,688,8,000,688
2015/09/01,684,694,680,680,3,600,680
2015/09/02,670,683,670,683,5,400,683
2015/09/03,692,697,684,695,5,600,695
2015/09/04,683,683,674,677,2,500,677
2015/09/07,667,687,659,687,25,300,687
2015/09/08,699,702,675,677,13,100,677
2015/09/09,680,694,680,694,5,300,694
2015/09/10,693,701,689,701,2,200,701
2015/09/11,704,704,677,680,33,400,680
2015/09/14,689,689,667,683,321,200,683
2015/09/15,675,690,675,690,5,500,690
2015/09/16,681,714,681,710,42,400,710
2015/09/17,711,714,700,714,8,400,714
2015/09/18,703,710,702,706,7,500,706
2015/09/24,696,696,688,688,2,500,688
2015/09/25,697,699,685,699,8,000,699
2015/09/28,688,717,688,717,8,800,717
2015/09/29,697,700,693,693,2,600,693
2015/09/30,687,700,687,700,1,900,700
2015/10/01,693,724,690,694,11,800,694
2015/10/02,692,710,692,710,3,500,710
2015/10/05,706,710,702,709,7,600,709
2015/10/06,704,705,702,703,11,100,703
2015/10/07,709,709,703,708,5,600,708
2015/10/08,701,705,701,701,9,100,701
